1682669200001,10
1682669202003,82
1682669204003,34
1682669206004,10
1682669208002,62
1682669210003,40
1682669212003,15
1682669214003,93
1682669216002,45
1682669218002,54
1682669220002,11
1682669222003,73
1682669224002,12
1682669226001,13
1682669228001,86
1682669230004,33
1682669232001,88
1682669234002,46
1682669236000,63
1682669238001,62
1682669240001,66
1682669242001,4
1682669244003,41
1682669246001,91
1682669248001,56
1682669250001,38
1682669252001,16
1682669254002,48
1682669256002,53
1682669258000,95
1682669260001,98
1682669262002,7
1682669264002,62
1682669266003,57
1682669268002,83
1682669270001,41
1682669272002,30
1682669274002,94
1682669276001,48
1682669278002,40
1682669280002,57
1682669282002,28
1682669284002,73
1682669286002,40
1682669288002,74
1682669290002,52
1682669292002,63
1682669294002,96
1682669296002,74
1682669298002,81
1682669300002,25
1682669302002,55
1682669304002,49
1682669306003,6
1682669308002,93
1682669310002,41
1682669312002,94
1682669314002,64
1682669316003,0
1682669318002,92
1682669320001,30
1682669322001,14
1682669324003,15
1682669326002,12
1682669328002,42
1682669330001,73
1682669332000,24
1682669334002,6
1682669336002,62
1682669338001,34
1682669340001,49
1682669342001,51
1682669344002,60
1682669346001,30
1682669348002,72
1682669350001,25
1682669352002,68
1682669354002,42
1682669356003,76
1682669358001,69
1682669360002,53
1682669362001,2
1682669364002,38
1682669366001,50
1682669368002,23
1682669370002,71
1682669372001,77
1682669374001,97
1682669376003,42
1682669378002,87
1682669380002,90
1682669382001,7
1682669384001,55
1682669386003,63
1682669388001,72
1682669390001,86
1682669392002,70
1682669394001,62
1682669396002,4
1682669398001,46
1682669400001,75
1682669402003,74
1682669404001,38
1682669406002,0
1682669408002,51
1682669410001,20
1682669412001,18
1682669414000,85
1682669416002,18
1682669418001,54
1682669420002,20
1682669422002,62
1682669424001,8
1682669426002,35
1682669428002,48
1682669430002,92
1682669592004,23
1682669594004,37
1682669596003,30
1682669598002,24
1682669600005,86
1682669610002,62
1682669620005,11
1682669630004,92
1682669640003,98
1682669650002,28
1682669658004,95
1682669659003,79
1682669660003,41
1682669661003,26
1682669662003,37
1682669663002,14
1682669664003,66
1682669665002,96
1682669666001,60
1682669667002,19
1682669668001,82
1682669669002,12
1682669670002,40
1682669671001,97
1682669672001,9
1682669673002,98
1682669674002,47
1682669675002,18
1682669676002,89
